,CVX,MPC,PSX,XOM
2019-12-11,113.2249755859375,55.60380935668945,109.69862365722656,66.69090270996094
2019-12-12,115.73826599121094,57.44396209716797,111.18460845947266,68.0254898071289
2019-12-13,114.91024017333984,57.064247131347656,110.46117401123047,66.95201873779297
2019-12-16,116.2740478515625,59.147804260253906,111.58543395996094,67.6966781616211
2019-12-17,115.53369903564453,59.595672607421875,110.50027465820312,67.38720703125
2019-12-18,115.48499298095703,59.303585052490234,110.51005554199219,67.57096099853516
2019-12-19,115.07585144042969,59.51778793334961,110.28520202636719,67.10675048828125
2019-12-20,116.58577728271484,59.98512649536133,110.8131103515625,67.63865661621094
2019-12-23,117.2189712524414,59.0601806640625,110.14833068847656,67.97713470458984
2019-12-24,117.22870635986328,59.36200714111328,110.66647338867188,67.71601104736328
2019-12-26,117.48199462890625,58.87519073486328,109.55198669433594,67.82239532470703
2019-12-27,117.18975067138672,58.787567138671875,108.12466430664062,67.59029388427734
2019-12-30,116.75137329101562,58.096290588378906,107.89981842041016,67.19379425048828
